scorer,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan,ryan
bodyparts,nose,nose,leftear,leftear,rightear,rightear,tailstart,tailstart,tailend,tailend,rightfrontpaw,rightfrontpaw,leftfrontpaw,leftfrontpaw,rightrearpaw,rightrearpaw,leftrearpaw,leftrearpaw,collar,collar
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/IMG_7578/img006.png,275.84416055489214,42.286474273693784,300.1070521348569,33.51053476604696,314.561540735687,16.991119222241196,358.4412382739211,116.10761248507589,400.77224060492347,133.65949150036954,,,321.2725533003581,154.82499266587072,367.2171777815679,233.29221649894822,350.69776223776216,217.8052644266303,323.85371197907773,53.127340724316326
labeled-data/IMG_7578/img009.png,277.584329978964,53.30799909034053,300.298526351697,33.174961396327205,314.2367832167831,23.88279015293648,372.5709693558473,115.77203911535616,459.2979009608277,74.98973199158561,,,330.75619876058886,164.8140540110296,379.7982136562623,201.4665072488487,360.69763943373687,231.40794792199668,328.17504008186927,54.85669429757232
labeled-data/IMG_7578/img021.png,260.26878048780475,41.414110864745,300.62354767184024,49.83983148558755,297.5193348115298,34.318767184035465,406.6102439024389,112.36754767184036,332.9960532150775,95.07264745011085,347.18674057649656,160.26111751662972,312.5969401330376,143.8531352549889,415.0359645232815,213.47619512195124,367.1423946784921,186.86865631929047,336.5437250554323,64.91743680709533
labeled-data/IMG_7578/img036.png,248.09016299821522,127.34966586555615,279.8493920285543,91.41159091017246,250.59747055324198,86.81486039262339,424.0195764425936,99.76928276026169,431.9593837001783,81.38236069006538,325.3988126115406,184.18197044616295,252.26900892325983,205.49408466389048,366.7693872694823,182.5104320761451,413.99034622248644,192.9575468887566,307.42977513384875,89.32216794765014
labeled-data/IMG_7578/img051.png,270.19753718024975,182.2047260440214,318.40164425936933,133.0267986198691,265.8153456276025,126.69696637715643,443.53755859607367,88.71797292088038,508.7835217132658,78.97976947055321,330.0874883997619,196.8120312195122,322.78383581201655,238.6863060559191,387.055978584176,184.15236673408685,422.6004211778702,188.04764811421774,315.4801832242712,109.65511033908385
labeled-data/IMG_7578/img053.png,260.9976799524092,180.08868425936942,306.9948340273646,135.09146831647828,265.4974015466983,121.59230353361093,442.4864509220701,85.0945617132659,502.98270791195705,45.097036430695994,306.4948649613325,228.0857145984533,338.49288518738837,230.0855908625818,362.4914003569303,197.58760157049375,441.986481856038,183.08849865556215,314.49437001784645,106.59323155264721
labeled-data/IMG_7578/img065.png,169.0710648423556,153.65708935157642,214.6932421177869,154.3380173706127,229.67365853658526,107.35398405710885,431.9092801903628,91.0117116002379,527.2392028554431,77.39315121951216,325.00358120166555,228.55917144556807,238.525722784057,283.7143409875074,435.9948483045805,169.31843378941102,376.0731826293872,223.79267531231406,286.8716121356334,113.48233622843543
labeled-data/IMG_7578/img081.png,103.72063057703741,63.03442341463415,129.02876621058886,104.99264828078523,166.99096966091605,65.69843769185007,386.1061439619274,94.3365911719215,448.04447590719803,45.052327043426544,224.26727662105884,244.85339783462223,193.6311124330755,244.85339783462223,379.44610826888754,203.5611765377751,304.8537085068411,234.19734072575847,218.93924806662696,100.99662686496134
labeled-data/IMG_7578/img084.png,112.96046400951809,48.035905770374654,152.75277810826884,100.3554298631766,188.123723973825,59.089326353361,392.9804521118381,100.3554298631766,493.93502676977977,110.6719557406305,252.97045806067808,239.6285292088042,166.75377751338482,263.94605449137407,406.24455681142166,204.25758334324797,317.81719214753116,235.20716097560967,230.12672218917305,99.61853515764415
labeled-data/IMG_7578/img094.png,185.0073420888054,16.115844903064385,189.0348592870543,81.70683927454658,237.36506566604118,67.89820888055036,420.3294183864915,99.54298686679175,430.1105315822389,32.22591369606005,243.11866166353963,223.24530081300816,260.95480925578477,265.24655159474673,349.56018761726074,218.6424240150094,407.6715071919949,240.50608880550345,272.46200125078167,102.99514446529082
labeled-data/IMG_7578/img105.png,155.13056276026168,125.2730139678763,220.66009042236755,113.75133877453902,205.53789173111232,80.62652259369429,442.45233789411054,111.59102467578828,531.025215942891,117.35186227245691,255.22511600237942,247.69081289708507,304.9123402736465,264.25322098750746,394.9254277215942,227.5278813087448,453.9740130874478,251.29133639500296,274.66794289113614,105.83018707911964
labeled-data/IMG_7578/img113.png,136.53683045806062,141.03125006543723,192.78335038667453,131.28185327781085,193.5333039857227,93.0342197263534,429.7686876859011,120.78250289113623,534.7621915526471,133.5317140749554,264.0289422962521,252.0243827245687,312.0259726353361,270.7732227007733,402.0204045211183,232.52558914931586,417.01947650208194,256.5241043188578,254.27954550862574,116.28278129684713
